"Country","Site","Station"
"Kenya","Kilifi","Kuruwitu"
"Kenya","Kisite","Mkwiro"
"Kenya","Lamu","Majongooni"
"Kenya","Lamu","Pezali_Rock"
"Kenya","Malindi","Kivulini"
"Kenya","Malindi","Mayunguni"
"Kenya","Malindi","New_Coral_Garden"
"Kenya","Malindi","North_Reef"
"Kenya","Malindi","Old_Coral_Garden"
"Kenya","Mombasa","Coral_Garden"
"Kenya","Mombasa","Nyali"
"Kenya","Mombasa","Ras_Iwatine"
"Kenya","Mombasa","Starfish"
"Kenya","Shimoni","Kibuyuni"
"Kenya","Shimoni","Mpunguti-Lower"
"Kenya","Shimoni","Wasini_Tengefu"
"Kenya","Watamu","Coral_Garden"
"Kenya","Watamu","Coral_Garden_2"
"Kenya","Watamu","Richard_Bernets"
"Kenya","Watamu","Richard_Bernets_2"
"Kenya","Watamu","Uyombo"
"Madagascar","Andavadoaka","Lost"
"Madagascar","Andavadoaka","Ns_Coco_Beach"
"Madagascar","Andavadoaka","Recruitment_North"
"Madagascar","Ankarea","Ambari_11"
"Madagascar","Ankarea","Ampa_10"
"Madagascar","Ankarea","Ankarea_03"
"Madagascar","Ankarea","Antsoa_07"
"Madagascar","Ankarea","Beangovo_04"
"Madagascar","Ankarea","NosyFisaka_02"
"Madagascar","Ankarea","NosyKaine_09"
"Madagascar","Ankarea","NosyKarabo_06"
"Madagascar","Ankarea","NosyLava_01"
"Madagascar","Ankarea","NosyVazoa_05"
"Madagascar","Ankarea","Rata_12"
"Madagascar","Ankarea","Tsara_08"
"Madagascar","Ankivonjy","Ambatofisaka_19"
"Madagascar","Ankivonjy","Ambatomilay_18"
"Madagascar","Ankivonjy","Ankaso_15"
"Madagascar","Ankivonjy","Anki_14"
"Madagascar","Ankivonjy","Kisi_16"
"Madagascar","Ankivonjy","Madiro_17"
"Madagascar","Ankivonjy","Marotogny_20"
"Madagascar","Ankivonjy","Plateau_13"
"Madagascar","Nosy Be","Nosy_Vorona"
"Madagascar","Nosy Be","Three_Brothers"
"Madagascar","Nosy Be","Turtle_towers"
"Madagascar","Nosy Komba","Dragon's_Den"
"Madagascar","Nosy Komba","Galaxea"
"Madagascar","Nosy Komba","Turtle_Towers"
"Madagascar","Soariake","Andravona_08"
"Madagascar","Soariake","Andravona_12"
"Madagascar","Soariake","Andre_07"
"Madagascar","Soariake","Anka_01"
"Madagascar","Soariake","Antsa_09"
"Madagascar","Soariake","Beko_03"
"Madagascar","Soariake","Sal_N1_11"
"Madagascar","Soariake","Sal_N2_02"
"Madagascar","Soariake","Sal_N2_05"
"Madagascar","Soariake","Sal_N2_13"
"Madagascar","Soariake","Tsand_10"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_1"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_2"
"Mauritius","Anse La Raie Lagoon","Live_Branching_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Lettuce_Coral"
"Mauritius","Anse La Raie Lagoon","Snorkeling_trail"
"Seychelles","Cerf Island","Cerf_Island"
"Seychelles","Cerf Island","Fairy_Tern"
"Seychelles","Cerf Island","Habitation"
"Seychelles","Mahe NW","Anse_Major_Point"
"Seychelles","Mahe NW","Anse_Major_Reef"
"Seychelles","Mahe NW","Auberge_Reef"
"Seychelles","Mahe NW","Bay_Ternay_Centre"
"Seychelles","Mahe NW","Bay_Ternay_Lighthouse"
"Seychelles","Mahe NW","Bay_Ternay_North_East"
"Seychelles","Mahe NW","Bay_Ternay_North_West"
"Seychelles","Mahe NW","Conception_Central_East_Face"
"Seychelles","Mahe NW","Conception_North_Point"
"Seychelles","Mahe NW","Corsaire_Reef"
"Seychelles","Mahe NW","L'ilot_North_Face"
"Seychelles","Mahe NW","Port_Launay_South_Reef"
"Seychelles","Mahe NW","Port_Launay_West_Rocks"
"Seychelles","Mahe NW","Ray's_Point"
"Seychelles","Mahe NW","Secret_Beach_Reef"
"Seychelles","Mahe NW","Site_X"
"Seychelles","Mahe NW","Site_Y"
"Seychelles","Mahe NW","Therese_North_East"
"Seychelles","Mahe NW","Therese_North_End"
"Seychelles","Mahe NW","Therese_South"
"Seychelles","Mahe NW","Whale_Rock"
"Seychelles","Mahe NW","White_Villa_Reef"
"Seychelles","Mahe NW","Willie's_Bay_Point"
"Seychelles","Mahe NW","Willie's_Bay_Reef"
"Seychelles","North Reef","Coral_Gardens_North"
"Seychelles","North Reef","Coral_Gardens_South"
"Seychelles","North Reef","House_Reef"
"Seychelles","North Reef","North_East_Point"
"Seychelles","North Reef","Sprat_City"
"Tanzania","Mafia","Kitutia"
"Tanzania","Mafia","Utumbi"
"Tanzania","Mafia","Yuyuni"
"Tanzania","Songosongo","Amana_South"
"Tanzania","Songosongo","Jewe"
"Tanzania","Songosongo","Machangi_East"
"Tanzania","Songosongo","Pwayasi"
"Tanzania","Songosongo","Songosongo"
"Tanzania","Tanga","Funguni"
"Tanzania","Tanga","Makome"
"Tanzania","Tanga","Maziwe_South"
"Tanzania","Tanga","Taa"
"Tanzania","Zanzibar","Bawe"
"Tanzania","Zanzibar","Chapwani"
"Tanzania","Zanzibar","Chumbe_MPA"
"Tanzania","Zanzibar","Murogo"
